ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
78,77,0.077,0.021823529411764707,0.7619629629629631,0.5775,0.13141176470588234,0.29533333333333334,0.3524999999999999,0.535,0.244,-1.238551,0.22,0.08048395280776803,0.123,0.08532058598359119,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
115,114,0.0,0.0,0.8520000000000001,0.493,0.10199999999999998,0.123,0.25999999999999995,0.0,0.0305,-1.307195,0.22,0.07808849068607925,0.123,0.06637739683468749,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
17,16,0.3388,0.10911764705882353,0.775814814814815,0.6338333333333334,0.24905882352941175,0.15433333333333332,0.3524999999999999,0.535,0.305,-1.375839,0.22,0.08509072332808326,0.123,0.0960098876745098,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
44,43,0.3234,0.19641176470588234,0.6303703703703705,0.5775,0.36670588235294116,0.217,0.815,0.535,0.305,-1.393,0.22,0.09909988649770932,0.123,0.15962415043966502,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
30,29,0.2618,0.08729411764705883,0.6234444444444445,0.7183333333333333,0.27847058823529414,0.2718333333333333,0.5374999999999999,0.535,0.305,-1.393,0.22,0.08786996061124919,0.123,0.11448846268673407,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
6,5,0.308,0.10911764705882353,0.6996296296296297,0.6056666666666667,0.2196470588235294,0.217,0.44499999999999995,0.41611111111111115,0.244,-1.358678,0.22,0.08506866210827284,0.123,0.09776060178826543,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
20,19,0.5236,0.21823529411764706,0.671925925925926,0.7464999999999999,0.27847058823529414,0.37366666666666665,0.815,0.47555555555555556,0.305,-1.358678,0.22214080697143343,0.20227895106435456,0.13564516129032259,0.14804413341605674,0.25,0.5,1.3707696854787645,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
83,82,0.0924,0.043647058823529414,0.8520000000000001,0.493,0.13141176470588234,0.123,0.25999999999999995,0.535,0.305,-1.393,0.22,0.08034725787388323,0.123,0.08139286812794118,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
19,18,0.7237999999999999,0.28370588235294114,0.47800000000000004,0.8591666666666666,0.48435294117647054,0.38933333333333336,1.0,0.3566666666666667,0.244,-1.375839,0.22,0.2205622355674664,0.12932258064516128,0.18868523513970586,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
95,94,0.015399999999999999,0.0,0.8520000000000001,0.493,0.10199999999999998,0.1935,0.25999999999999995,0.23777777777777778,0.1525,-1.324356,0.22,0.07856270806826748,0.123,0.07198707731553819,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
